DrugAnonID,Drug1,Drug2,Drug3,Drug4,Drug5,Drug6,Drug7,Drug8,Drug9,Drug10,Drug11,Drug12,Drug13,Drug14,Drug15,Drug16,Drug17,Drug18,Drug19,Drug20,Drug21,Drug22,Drug23,Drug24,Drug25,Drug26,Drug27,Drug28,Drug29,Drug30,Drug31
HCC38,1,1,8,48,17,53,17,2,42,23,10,4,22,47,29,50,10,15,46,46,3,3,22,25,7,24,43,32,3,41,31
SUM229PE,48,46,45,4,30,47,46,40,26,49,16,25,23,29,2,2,41,18,8,40,35,49,1,46,27,46,25,2,38,22,10
ZR751,8,4,16,3,33,52,32,13,1,5,50,5,5,15,49,44,6,41,53,26,39,39,46,51,5,51,52,30,23,52,53
BT483,31,37,10,1,5,45,52,36,25,43,6,26,24,51,43,53,43,35,12,20,2,34,49,10,12,9,32,41,7,36,17
T47D,4,3,7,9,31,29,5,8,20,37,1,27,25,5,9,12,46,39,9,36,37,45,39,48,23,48,19,10,48,39,40
ZR7530,53,53,41,39,52,7,6,1,21,18,40,28,26,4,32,13,18,40,35,1,26,32,19,52,17,52,10,28,13,26,38
BT549,17,18,6,42,6,14,9,20,50,11,52,6,6,44,36,49,16,3,5,24,49,2,17,11,50,10,42,43,43,7,7
MDAMB231,19,9,3,46,26,4,20,4,40,53,47,7,27,50,31,9,13,36,47,37,34,47,26,35,48,35,49,53,53,11,50
MDAMB453,2,2,51,33,29,1,12,42,49,7,49,29,7,2,8,6,4,42,51,8,50,10,8,38,25,38,23,40,2,17,32
MCF10F,49,50,50,19,20,39,49,51,46,26,13,30,28,37,45,39,45,5,3,22,28,51,41,30,38,29,31,39,50,3,5
MDAMB157,3,5,29,7,24,2,2,6,43,52,42,8,8,30,5,17,11,26,26,13,53,35,42,34,45,33,46,36,36,9,12
HCC1428,11,15,11,41,12,43,39,53,11,47,5,9,29,39,42,15,53,47,50,6,42,14,50,17,6,16,41,12,1,46,43
MDAMB134VI,52,52,42,53,23,50,33,52,44,9,14,31,30,38,46,47,42,53,42,14,40,25,18,33,20,32,13,34,4,37,42
BT20,51,51,46,38,3,37,3,48,7,27,8,10,31,41,30,8,17,20,52,7,1,6,48,8,47,7,2,37,51,2,6
HCC1419,35,45,44,51,11,17,45,34,4,4,41,11,1,13,44,28,49,50,25,2,23,11,37,16,2,15,38,7,10,40,25
MDAMB361,28,35,52,52,27,48,13,37,6,1,53,12,9,9,51,45,19,46,44,21,48,52,53,36,52,36,50,51,14,45,1
HCC202,44,32,13,24,16,38,43,49,17,12,26,32,32,1,52,1,5,29,33,3,10,20,38,22,11,21,24,21,11,5,4
MDAMB415,46,44,49,6,28,9,44,43,45,3,43,33,33,42,34,38,20,32,7,5,44,9,21,37,22,37,3,52,6,53,52
MCF7,42,42,33,50,22,35,40,44,19,17,18,13,10,34,40,16,25,44,48,44,25,33,29,32,8,31,37,35,34,12,47
MDAMB175VII,7,11,48,10,25,3,4,35,2,45,17,34,34,7,17,5,9,51,41,12,20,48,28,1,35,34,28,47,9,19,45
HCC1395,47,47,5,43,10,18,47,45,18,46,48,14,11,43,3,27,12,45,40,50,29,1,34,15,3,14,44,42,49,43,19
HCC1143,26,33,43,36,8,32,8,28,8,39,12,15,12,53,47,46,33,16,15,10,52,4,25,13,51,12,48,49,40,48,22
HCC70,12,7,26,14,18,13,53,10,12,10,46,1,13,12,11,14,3,43,2,47,27,5,3,26,4,25,1,3,8,4,3
BT474,25,48,25,28,4,46,50,39,5,6,51,16,14,11,50,48,8,17,27,35,43,41,27,9,1,8,51,50,5,49,41
HCC1806,43,20,4,44,14,6,31,5,32,51,7,17,15,40,1,3,7,2,49,11,41,50,30,19,53,18,40,38,42,51,51
HS578T,37,26,21,49,19,5,35,31,30,41,20,35,35,32,12,52,21,6,37,18,32,36,45,27,42,26,33,11,52,13,24
